Column	Adipocytes_SRR1296133	CD4_SRR1422906	HMVEC_SRR2776477	M1_SRR2910670	M2_SRR2939149	P-value	Pearson Correlation	RMSE	
0	0.347149000138681	0.2666321423193148	0.27600194820114754	0.0027849506408448702	0.10743195870001175	0.0	0.6983998175426017	0.7243904503730644
1	0.09769122901326754	0.18839965737088202	0.513201669454864	0.0066828085718966986	0.19402463558908972	0.0	0.6525680787166201	0.7576714455215336
2	0.4272087689856672	0.07135252499181695	0.3493645957130744	0.002399900402271969	0.1496742099071695	0.0	0.6978135287229741	0.7162828249992862
3	0.07182182466041846	0.5038779737008587	0.16506675065964932	0.028037011875149762	0.2311964391039237	0.0	0.48033834367423806	0.890492515495329
4	0.2990284587105178	0.473143674340989	0.10723548617843982	0.014265221585206765	0.1063271591848467	0.0	0.6286511747010914	0.7956652679755236
5	0.5618741806421964	0.29696213345167144	0.018359552133972827	0.018291451829181436	0.10451268194297793	0.0	0.6631680122081521	0.7531223336212821
6	0.3504083179213249	0.28829374326188084	0.22330075390844714	0.002673614102858856	0.13532357080548824	0.0	0.6379460059811213	0.7736277498232311
7	0.45294389487766884	0.13172841081159609	0.2704184520733029	0.0026972462937573283	0.14221199594367478	0.0	0.6696463827009737	0.7428088634002146
8	0.3432198147641572	0.23227613951444961	6.710029440910155E-4	0.02130461067521348	0.4025284321020888	0.0	0.6116163987270471	0.7938621671020654
9	0.42406142833216864	0.27195493407352717	0.10456876394532129	0.002711895504923706	0.1967029781440593	0.0	0.6676507325232464	0.7466742731527335
10	0.11535750436357278	0.33384642512801804	0.31381032366879136	0.006850366512549672	0.23013538032706815	0.0	0.570936267952038	0.830320753611728
11	0.24352387476960177	0.3324152451824778	0.20486301520418673	0.003594786996711039	0.21560307784702265	0.0	0.6386079448832466	0.7913323080983931
12	0.4961318837626895	0.1014490892556855	0.29796841413946934	0.005189065682443301	0.09926154715971221	0.0	0.6847280467331199	0.7323417620430416
13	0.5012668274869826	0.21972156240308385	0.0787406242889989	0.02215599015901903	0.17811499566191552	0.0	0.5985792858769713	0.8057021686424928
14	0.4402157166335196	0.21350496373680922	0.20294986840393114	0.002540071481831337	0.1407893797439086	0.0	0.6743511705974904	0.7382690781056734
15	0.5502173276963584	0.22849547476850357	0.026739988550707423	0.01664698917959442	0.177900219804836	0.0	0.6586232906001995	0.7567769412394205
16	0.3784858514539549	0.22062263899033105	0.3125626486491257	0.0025032816241323903	0.08582557928245599	0.0	0.6968464052899022	0.7191420386119359
17	0.15575079775496856	0.3677576424379269	0.23538045065609525	0.029779949004548827	0.21133116014646053	0.0	0.5213689099182088	0.8613047054297963
18	0.13732318271602204	0.3591900714620382	0.3742917436055923	0.002571302755942065	0.12662369946040533	0.0	0.6274163900971182	0.7889331808335948
19	0.42455909670910397	0.33712884946986127	0.008751612321398577	0.00320982438221371	0.22635061711742246	0.0	0.6284644663937987	0.7780881079849606
20	0.18525080733289503	0.31949001787632114	0.38393423168421115	0.0025217900072921472	0.10880315309928044	0.0	0.6568769976336443	0.763854914042633
21	0.07134893931113243	0.26381808719632327	0.5060431116400697	0.015003776644100754	0.14378608520837388	0.0	0.6364543926731694	0.7714858102754657
