Column	Adipocytes_SRR1296133	CD4_SRR1422906	HMVEC_SRR2776477	M1_SRR2910670	M2_SRR2939149	P-value	Pearson Correlation	RMSE	
0	0.21108996167206465	0.11654103841791	0.2747013226665452	0.001579867737542166	0.396087809505938	0.0	0.5177873587647063	0.8549438736187522
1	0.07222508293930699	0.3293656916038329	0.4684746088000711	0.0011484240213469937	0.1287861926354421	0.0	0.7039224356612532	0.7228999776678375
2	0.3839144809072055	0.31499814683632876	0.22892422457875056	0.0018269436714465274	0.07033620400626871	0.0	0.6261210556285897	0.7798955782350744
3	0.17895689532525724	0.4202192996671627	0.345885545565366	1.0595195641421003E-4	0.054832307485799835	0.0	0.5077459749961828	0.8613377296051061
4	0.25979820742906	0.3682380051416436	0.15272957760494132	0.004840572092460807	0.21439363773189432	0.0	0.5877364261919353	0.8216427765673516
5	0.32326220652344106	0.21448838042809962	0.005104269122589446	0.0015443603114601216	0.45560078361440975	0.0	0.6002665316419398	0.8018630427043927
6	0.49180057744491557	0.2810463849272078	0.08199267952884913	0.0016864967922222002	0.14347386130680528	0.0	0.6365881524277498	0.7716632648420332
7	0.08466082232212804	0.25493582924407737	0.4091832524493672	0.0016312360222125364	0.24958885996221486	0.0	0.6008921317134863	0.8025646944808479
8	0.5559344402593821	0.13225788808546646	0.05177436833850856	0.002746140500402867	0.25728716281624003	0.0	0.6355907886932136	0.7825371566060271
9	0.37938761905954105	0.28822745875801503	0.0367260180552677	0.0014322205922736879	0.29422668353490256	0.0	0.6371251152965891	0.7745133793432382
10	0.16107447892504417	0.21909180561762193	0.23175851746473847	0.004058456150718353	0.38401674184187706	0.0	0.5425359170362567	0.8452300146824806
11	0.39718415566210336	0.4658894929131259	0.12954511574333785	0.0022564755462725367	0.0051247601351603785	0.0	0.6208938929885669	0.7850761307751419
12	0.11363453112013536	0.3218211417268107	0.5072063023858051	0	0.057338024767248856	0.0	0.6439600371255918	0.7651834571862036
13	0.4658823132697717	0.011007284851351386	0.37882904519426425	0.001285974521920277	0.14299538216269245	0.0	0.6352863678355152	0.7862415014346279
14	0.3241617110641416	0.329450183665176	0.10107666724986074	0.0016058912236004829	0.24370554679722123	0.0	0.6224382405980627	0.7923447953736354
15	0.23773637260708783	0.2854019295613828	0.23196098447859323	0.001715329309805843	0.24318538404313036	0.0	0.563140145005438	0.8313628146079575
16	0.4589583527085043	0.12082373025393166	0.19674250185092615	0.0013685040325619457	0.22210691115407596	0.0	0.6535651937652207	0.7569113989081282
17	0.4426553749586594	0.011440250568431337	0.5063827231366538	5.6266710179093335E-5	0.03946538462607627	0.0	0.643882864167963	0.7916732900298797
18	0.4738770155849315	0.2269972957919913	0.16617941379478643	0.0018339525307259452	0.13111232229756487	0.0	0.6349609064828372	0.7730467396299369
19	0.2481497007690611	0.27608328066550186	0.33943523896863426	4.3633014661417313E-4	0.13589544945018853	0.0	0.5834333882684565	0.81281859227691
20	0.4064669638175993	0.059890373229080876	0.35195123628657204	0.0010111279193348187	0.18068029874741293	0.0	0.6281366787777085	0.7815887303256113
21	0.42385667755922285	0.32595875553121173	0	0.0016300574590913737	0.24855450945047405	0.0	0.647737977775867	0.7630383907727236
22	0.19136136230969034	0.2926444019268683	0.42389022745962923	1.7352121017127139E-4	0.09193048709364092	0.0	0.531228202901274	0.8477396860967292
23	0.36643390811806614	0.355805878278716	0.07266446765100575	0.0016074886275741621	0.20348825732463796	0.0	0.6408768990780431	0.7749590913279202
24	0.18094117605809873	0.46425815730257725	0.1406314182767644	0.001428580772999244	0.2127406675895604	0.0	0.5188977320971715	0.8673068118485784
25	0.20030857904022192	0.3728635238793038	0.35204598710250834	0.002700691402179804	0.07208121857578603	0.0	0.528246398546329	0.8488703176219683
26	0.2663873727857473	0.16170434808647532	0.4030480881762027	0.001143666512823599	0.16771652443875107	0.0	0.5908549566050542	0.8065196838679005
27	0.2582726864371432	0.3561776244614687	0.3350912356690079	0	0.0504584534323803	0.0	0.5782791635155322	0.8162631216785772
28	0.3914811726868065	0.12455689946604694	0.2364754715316216	0.0017341820561118718	0.24575227425941307	0.0	0.6331586162662817	0.7734984759516312
29	0.14447846677390522	0.4005557831695801	0.27501048663106137	0.0014935834345771845	0.1784616799908761	0.0	0.5337923881920198	0.8526954942830354
30	0.0753504031287796	0.025143556849251285	0.6285994889866533	0.0014773843336938072	0.269429166701622	0.0	0.7249409905911992	0.6892214632550496
31	0.4266972885359011	0.057224095167398493	0.13638330883341668	0.0015708368316777732	0.3781244706316059	0.0	0.6419390746824494	0.7663886186885944
32	0.2877644388491273	0.24686604216334557	0.3427858210425726	0.001984665757297078	0.12059903218765762	0.0	0.5857196427748307	0.8100540638373195
33	0.5918712372289273	0.07661850419678135	0.08978987749323533	0.002250198535097988	0.239470182545958	0.0	0.640497715949492	0.787446801423195
34	0.3738367552571997	0.293804363878241	0	0.0017176993666113357	0.3306411814979479	0.0	0.631905619142585	0.7783294100156224
35	0.2087363411459783	0.004042645409758378	0.48252355573263706	0	0.30469390262844226	0.0	0.5136137050368192	0.8722919598154804
36	0.3188206669180289	0.16946079824644691	0.3594246971701836	2.349425101906876E-4	0.15205889515514986	0.0	0.6218815469726727	0.7825653233088787
37	0.3751108480814281	0.18870613436484254	0.3449298281627774	0.0018159547488895403	0.08943723464206256	0.0	0.635313442416771	0.7720193470763087
38	0.16047447947501625	0.08647338704689338	0.38797356356717067	0.0026646455700346273	0.3624139243408851	0.0	0.5946805855017465	0.8038856643321377
39	0.06319968141305508	0.4775853957923546	0.1286084553916708	0.004223395768379355	0.3263830716345401	0.0	0.4673607214495452	0.8951488359861802
40	0.06968768306799601	0.3830086197382836	0.20067095831586568	0.003969984605109787	0.34266275427274495	0.0	0.5078554692119713	0.8727969016178413
41	0.27505922677448763	0.24632748542408386	0.22493014689461038	0.001671987049426209	0.2520111538573919	0.0	0.5929586571143122	0.8100948713229357
42	0.3444451354254067	0.22254910311051274	0.2824205290170803	0.0017648708991719136	0.1488203615478283	0.0	0.6203074596849916	0.7844488461661333
43	0.4603276230092457	0.2621683780664367	0.018194466808478412	0.005224631374801608	0.2540849007410376	0.0	0.6445024431376452	0.7641044869863204
44	0.05478265467419589	0.21773162425499995	0.41295410559383283	0.0010082758301167226	0.31352333964685464	0.0	0.6018715600409124	0.8011997946857191
45	0.4353569993694537	0.11997719145445278	0.06855431673860599	0.001577810745317089	0.37453368169217044	0.0	0.6451862021515071	0.7634920105103866
46	0.18277840166582784	0.0943307649999785	0.3947391664245075	0.0024045056133979526	0.3257471612962882	0.0	0.49967510918982444	0.8690500025411689
47	0.2392888692811676	0.29288160492238585	0.1826672987577935	0.0016652434470559741	0.2834969835915971	0.0	0.5688945317031394	0.8306025267359867
48	0.3946114741273203	0.17371933651332733	0	0.0016152516950514355	0.43005393766430094	0.0	0.6268205657962798	0.778914551899109
49	0.2882667574810026	0.21053595242393508	0.3246375062398262	4.5901953079741895E-4	0.17610076432443866	0.0	0.6051448145562301	0.7964539838111604
50	0.3217598295093068	0.19049585622146686	0.40715709134420985	7.079887770333666E-4	0.07987923414798319	0.0	0.6126046039744623	0.7909176129332985
51	0.32660845291534246	0.4497597280867364	0.08264663354638224	0.0030555623756755037	0.13792962307586337	0.0	0.6212677277649163	0.7951264981802245
52	0.10591625642377117	0.2989505207039147	0.38412923086764617	0.0023684430305367715	0.2086355489741311	0.0	0.5840956365996969	0.8154924213971755
53	0.1551882981734338	0.31787050420482116	0.3386883353860841	0.001539246028439573	0.18671361620722143	0.0	0.566904889038353	0.8278899564462661
