Column	Adipocytes_SRR1296133	CD4_SRR1422906	HMVEC_SRR2776477	M1_SRR2910670	M2_SRR2939149	P-value	Pearson Correlation	RMSE	
14	0.08300552479287392	0.3806399791767754	0.43476481176671683	0.0021720774861410425	0.09941760677749271	0.0	0.7015510380430454	0.7313612505229893
15	0.574362798994421	0.1232985656835579	0.11075140556721967	0.007009724842165416	0.18457750491263597	0.0	0.6333367307752065	0.7891236007943847
16	0.26626345920703387	0.24386675747058836	0.38573756077447446	0.002291271832890689	0.10184095071501252	0.01	0.590840173253431	0.8062597463163003
17	0.42581136707098033	0.2691681249102199	0.16360070242364022	0.0041105680414249834	0.13730923755373456	0.0	0.6447214079771889	0.7643850879777796
18	0.2941388562189887	0.18694933903809954	0.3228889007734004	0.002582155421387118	0.19344074854812418	0.0	0.6119586168102648	0.7912330275528908
19	0.36749976304726006	0.340661979133173	0.08970827009899539	0.0014587567200556894	0.2006712310005159	0.0	0.6433225850607955	0.7726956827624729
20	0.34893557806957737	0.21231585750372886	0.3085173612138975	0.0013708454522773376	0.12886035776051893	0.0	0.6509012835305769	0.7598063555367963
21	0.20253485916244837	0.11781353215152786	0.4361450897123003	0.0012605275599984929	0.24224599141372494	0.01	0.5445979004690832	0.840635408588381
22	0.4584834861086758	0.4348936439250746	0	0.003215450894418743	0.10340741907183085	0.0	0.6212148417163685	0.7833239148967674
23	0.17389046089448099	0.2401103350711492	0.3872718118970599	0.00329927766684104	0.19542811447046884	0.0	0.608447547829821	0.7963621904697595
24	0.3116728225609707	0.13261311863052222	0.25544523408257325	0.0026633747354491318	0.2976054499904846	0.0	0.6207897315721622	0.7853569500898002
25	0.17294659534618778	0.6537200286516894	0.07834457687450365	0.0027379807770518583	0.09225081835056735	0.01	0.5011588590280791	0.8774799999947643
26	0.4055338643088915	0.23493508383060602	0.32378812143309	0.0015987200700742932	0.03414421035733827	0.0	0.6529093186853333	0.7571092780747164
27	0.31051625014457945	0.24877087840835627	0.1839303446441423	0.006743514247503614	0.2500390125554185	0.0	0.6230678964550294	0.7893660709140157
28	0.12767405827989287	0.3798702319874149	0.05642897103333591	0.004066528731274988	0.4319602099680814	0.01	0.5068490807508024	0.8731564510353454
