Column	adipocyte	cd4	MVEC	m1_macro	m2_macro	P.value	Pearson.Correlation	RMSE
SRR1071453	0.578438592433851	0	0.343284623817016	0	0.0782767837491324	0.00201005025125628	0.362262709422649	1.07034599853172
SRR1072247	0.56154321500014	0	0.335481441454865	0	0.102975343544995	0.00201005025125628	0.392758346930609	1.03516190366437
SRR1073581	0.396997224389456	0	0.529530593578566	0	0.0734721820319786	0.0120603015075377	0.245949300927827	1.14350458996376
SRR1075971	0.717416964758238	0.00724987350624878	0.209396298867272	0	0.065936862868241	0	0.612024174958106	0.87497435793794
SRR1077038	0.376782671303718	0	0.52554579993418	0	0.0976715287621022	0.0402010050251256	0.129862234002362	1.21658491503271
SRR1078489	0.410834795075344	0	0.51353604466465	0	0.0756291602600057	0.0361809045226131	0.136543188864298	1.22075122606002
SRR1079522	0.183232748133646	0.0244520112593805	0.663599086388825	0.000206881049120349	0.128509273169028	0.00402010050251256	0.295154087644009	1.10919077016026
SRR1080270	0.663958830462375	0	0.274946515159106	0	0.0610946543785195	0.00201005025125628	0.374126085429379	1.09073609884434
SRR1080459	0.464964950968479	0	0.441470444923898	0	0.0935646041076227	0.00201005025125628	0.374103800144518	1.03795111207088
SRR1081567	0.641999754299396	0	0.323198113989927	0	0.0348021317106776	0	0.554710244525221	0.919129016873983
SRR1082173	0.651920792325024	0	0.243490116619277	0	0.104589091055699	0	0.472681024223435	0.990602385057235
SRR1082376	0.650398484828044	0	0.265165194093151	0	0.0844363210788049	0.00301507537688442	0.341723564372403	1.10884868095904
SRR1082883	0.622500532395279	0	0.145413190035314	0.0434888241217136	0.188597453447693	0.00100502512562814	0.438459994075442	0.995805356786742
SRR1083311	0.619706854453757	0	0.331064607417621	0	0.0492285381286216	0.00301507537688442	0.338931328615636	1.10826408058641
SRR1085134	0.531113752643199	0	0.41079116323181	0	0.0580950841249908	0.00201005025125628	0.403687355479259	1.03143300266943
SRR1085285	0.594225807296607	0.00133412753614605	0.335681000505061	0	0.0687590646621861	0.00201005025125628	0.378272488019993	1.06284403011362
